sl_no,product_name,image_file,match_level,source_shop,source_product_name,source_page_url,image_url,note
20,Flower pots Special (3rd Size),020_Flower_pots_Special_3rd_Size.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Flower pots Special (3rd Size),https://srivelavanpattasukadai.com/product/flower-pots-special-size-3/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/fp-special.png,
21,Flower pots Asoka (4th Size),021_Flower_pots_Asoka_4th_Size.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Flower pots Asoka (4th  Size),https://srivelavanpattasukadai.com/product/flower-pots-asoka-size-4/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/fp-asoka.png,
22,Flower pots Color Koti (5th Size),022_Flower_pots_Color_Koti_5th_Size.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Flower pots Color Koti (5th Size),https://srivelavanpattasukadai.com/product/flower-pots-color-koti-size-5/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/fp-colour-koti.png,
23,Flower pots Deluxe (10Pcs) (6th Size),023_Flower_pots_Deluxe_10Pcs_6th_Size.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Flower pots Deluxe (10Pcs) (6th Size),https://srivelavanpattasukadai.com/product/flower-pots-super-color-koti-size-6/,https://srivelavanpattasukadai.com/wp-content/uploads/2025/08/fp-colour-koti-dlx-1.png,
24,Super Colour Koti (Branded),024_Super_Colour_Koti_Branded.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Super Colour Koti (Branded),https://srivelavanpattasukadai.com/product/flower-pots-deluxe-size-7/,https://srivelavanpattasukadai.com/wp-content/uploads/2025/08/ashok-colour-koti.png,
25,Colour Koti Mega Deluxe (Branded),025_Colour_Koti_Mega_Deluxe_Branded.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Colour Koti Mega Deluxe (Branded),https://srivelavanpattasukadai.com/product/flower-pots-mega-color-koti-size-8/,https://srivelavanpattasukadai.com/wp-content/uploads/2025/08/ashok-colour-koti-dlx.png,
26,Disco Wheel,026_Disco_Wheel.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Disco Wheel,https://srivelavanpattasukadai.com/product/disco-wheel/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/disco-wheel-1.png,
27,4 x 4 Wheel,027_4_x_4_Wheel.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),4 × 4 Wheel,https://srivelavanpattasukadai.com/product/titanic-wheel/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/4x4-wheel.png,
28,Whisting Dixie (Branded),028_Whisting_Dixie_Branded.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Whisting Dixie (Branded),https://srivelavanpattasukadai.com/product/brand-whistling-wheel/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/whistling-wheel-dlx-vadivel.png,
29,Wire Chakkar Deluxe,029_Wire_Chakkar_Deluxe.jpg,EXACT,chakracrackers.com,Wire Chakkar (கம்பி சக்கரம் ),https://chakracrackers.com/product/wire-chakkar/,https://chakracrackers.com/wp-content/uploads/2025/08/Wire_Chakkar.jpeg,
30,Double Whisting Re Cycle (Branded),030_Double_Whisting_Re_Cycle_Branded.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Double Whisting Re Cycle (Branded),https://srivelavanpattasukadai.com/product/wire-chakkar-deluxe/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/whistling-cycle-vadivel.png,
31,"2.25"" Multi colour Fountain",031_2_25_Multi_colour_Fountain.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),2.25″ Multi colour Fountain,https://srivelavanpattasukadai.com/product/2-25-multi-colour-nattiyala-tillana-fountain/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/27.-2.25-Multi-colour-Nattiyala-Tillana-Fountain-Sri-Velavan.jpg,
32,Holi 5 in 1 Multi Colour Fountain,032_Holi_5_in_1_Multi_Colour_Fountain.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Holi 5 in 1 Multi Colour Fountain,https://srivelavanpattasukadai.com/product/holi-5-in-1-multi-colour-fountain/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/holi-1.png,
33,Pogo 5 in 1 Multi Colour Fountain,033_Pogo_5_in_1_Multi_Colour_Fountain.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Pogo 5 in 1 Multi Colour Fountain,https://srivelavanpattasukadai.com/product/pogo-5-in-1-multi-colour-fountain/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/pogo-1.png,
34,Jodi Fountain,034_Jodi_Fountain.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Jodi Fountain,https://srivelavanpattasukadai.com/product/twins-fountain/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/2-pcs-instagram.png,
35,Tri Colour Mega Multi Fountain,035_Tri_Colour_Mega_Multi_Fountain.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Tri Colour Mega Multi Fountain,https://srivelavanpattasukadai.com/product/tri-colour-mega-fountain/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/tri-colour.png,
36,Triple Fountain,036_Triple_Fountain.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Triple Fountain,https://srivelavanpattasukadai.com/product/triple-fountain/,https://srivelavanpattasukadai.com/wp-content/uploads/2026/09/cocktail.png,
37,Peacock Fountain 3 Tubes - Multi Colour,037_Peacock_Fountain_3_Tubes_Multi_Colour.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Peacock Fountain 3 Tubes – Multi Colour,https://srivelavanpattasukadai.com/product/peacock-fountain-multi-colour/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/peacock-1.png,
38,Bada Peacock 5 Tubes - Multi Colour,038_Bada_Peacock_5_Tubes_Multi_Colour.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Bada Peacock 5 Tubes – Multi Colour,https://srivelavanpattasukadai.com/product/bada-peacock-5-tubes/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/bada-peacock.png,
39,Stawberry party,039_Stawberry_party.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Stawberry party,https://srivelavanpattasukadai.com/product/popcorn-cocktail-party/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/juicy-stawberry.png,
40,Kawaii party,040_Kawaii_party.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Kawaii party,https://srivelavanpattasukadai.com/product/green-apple-tin/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/juicy-dragon.png,
41,Pineapple party,041_Pineapple_party.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Pineapple party,https://srivelavanpattasukadai.com/product/strowberry-tin/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/juicy-popcorn.png,
42,Watermelon party,042_Watermelon_party.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Watermelon party,https://srivelavanpattasukadai.com/product/banana-tin/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/juicy-waterqueen.png,
43,Cool Drinks Tin,043_Cool_Drinks_Tin.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Cool Drinks Tin,https://srivelavanpattasukadai.com/product/water-queen-tin/,https://srivelavanpattasukadai.com/wp-content/uploads/2025/08/121.-Cool-Drinks-Tin.jpg,
44,Bullet Bomb,044_Bullet_Bomb.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Bullet Bomb,https://srivelavanpattasukadai.com/product/bullet-bomb/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/bullet.png,
45,Hydro Bomb,045_Hydro_Bomb.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Hydro Bomb,https://srivelavanpattasukadai.com/product/hydro-bomb/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/hydro-bomb-1.png,
46,King Bomb,046_King_Bomb.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),King Bomb,https://srivelavanpattasukadai.com/product/king-bomb/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/king-of-king-bomb.png,
47,Classic Bomb,047_Classic_Bomb.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Classic Bomb,https://srivelavanpattasukadai.com/product/classic-bomb/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/classic-bomb-1.png,
48,Agni Bomb,048_Agni_Bomb.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Agni Bomb,https://srivelavanpattasukadai.com/product/agni-bomb/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/agni-bomb-1.png,
49,Digital Bomb,049_Digital_Bomb.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Digital Bomb,https://srivelavanpattasukadai.com/product/digital-bomb/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/digital-bomb-1.png,
50,Baby Rocket,050_Baby_Rocket.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Baby Rocket,https://srivelavanpattasukadai.com/product/baby-rocket/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/baby-rocket-2.png,
51,Rocket Bomb,051_Rocket_Bomb.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Rocket Bomb,https://srivelavanpattasukadai.com/product/rocket-bomb/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/rocket-bomb-2.png,
52,Ultra Lunik Express,052_Ultra_Lunik_Express.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Ultra Lunik Express,https://srivelavanpattasukadai.com/product/ultra-lunik-express/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/lunik-rocket.png,
53,Whistling Rocket,053_Whistling_Rocket.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Whistling Rocket,https://srivelavanpattasukadai.com/product/whistling-rocket/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/wishling-rocket.png,
54,Bijili Stripped,054_Bijili_Stripped.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Bijili Stripped,https://srivelavanpattasukadai.com/product/bijili-stripped/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/bijili-stepped.png,
55,Bijili Red,055_Bijili_Red.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Bijili Red,https://srivelavanpattasukadai.com/product/bijili-red/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/bijili-red-1.png,
56,1.5' Twinkling Star,056_1_5_Twinkling_Star.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),1.5′ Twinkling Star,https://srivelavanpattasukadai.com/product/twinkilng-star-1-5/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/1-twinkling-star.png,
57,4' Twinkling Star,057_4_Twinkling_Star.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),4′ Twinkling Star,https://srivelavanpattasukadai.com/product/twinkilng-star-4/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/4-twinkling-star.png,
58,Kit Kat,058_Kit_Kat.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Kit Kat,https://srivelavanpattasukadai.com/product/kit-kat/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/kitkat-1.png,
59,Tom and Jerry (10 Pcs),059_Tom_and_Jerry_10_Pcs.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Tom and Jerry  (10 Pcs),https://srivelavanpattasukadai.com/product/ganga-jamuna/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/tom-and-jerry.png,
60,ChitPut / Asarabi Big (10 Pcs),060_ChitPut_Asarabi_Big_10_Pcs.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),ChitPut / Asarabi Big (10 Pcs),https://srivelavanpattasukadai.com/product/bounce-disco-pops/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/chut-put.png,
61,Ganga Jamuna,061_Ganga_Jamuna.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Ganga Jamuna,https://srivelavanpattasukadai.com/product/ganga-jamuna-2/,https://srivelavanpattasukadai.com/wp-content/uploads/2026/09/ganga-jamuna.png,
62,Bounce / Disco Pops,062_Bounce_Disco_Pops.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Bounce / Disco Pops,https://srivelavanpattasukadai.com/product/bounce-disco-pops-2/,https://srivelavanpattasukadai.com/wp-content/uploads/2026/09/disco-pops.png,
63,Feathers,063_Feathers.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Feathers,https://srivelavanpattasukadai.com/product/feathers/,https://srivelavanpattasukadai.com/wp-content/uploads/2026/09/feather-peacock.png,
64,Mini Siren,064_Mini_Siren.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Mini Siren,https://srivelavanpattasukadai.com/product/mini-siren/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/mini-siren-1.png,
65,Mega Siren,065_Mega_Siren.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Mega Siren,https://srivelavanpattasukadai.com/product/mega-siren/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/mega-siren-1.png,
66,Twinkling Firefly / Butterfly,066_Twinkling_Firefly_Butterfly.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Twinkling Firefly / Butterfly,https://srivelavanpattasukadai.com/product/twinkling-firefly-butterfly/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/butterfly-1.png,
67,Bambaram 10Pcs,067_Bambaram_10Pcs.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Bambaram 10Pcs,https://srivelavanpattasukadai.com/product/bambaram-10pcs/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/bambaram-1.png,
